Название курса,Ссылка,Описание,Создатели,Направления
Разговорный курс немецкого языка,https://www.utmn.ru/obrazovanie/iot/electives/1112596/,"На протяжении элективного курса мы будем обсуждать темы,связанные с поездкой за границу т.е.строить планы,делиться с другими людьми своим мнением, рассказывать о своих впечатлениях или переживаниях, обосновывать свою позицию в дискуссии.
Самое важное, чему нужно научиться в университете, — искать и находить то, что нужно.Любые территориальные границы очерчивают пределы ваших возможностей, обсуждая на занятии элективного возможности путешествия, дальнейшего обучения , вы поймете , что это все возможно особенно если вы приложмте усилия.",Абсалямова Рамзия Ахмаровна,"Культура, Немецкий, Иностранный язык, Коммуникативные практики, Туризм"
Разработка визуальных новелл,https://www.utmn.ru/obrazovanie/iot/electives/1099134/,"Дисциплина позволит обучающимся приобрести компетенции по разработке междисциплинарного творческого проекта, создания концепта и механики игры, навыки проектного анализа, а также применять базовые инструменты аналитики показателей проекта.
Цель дисциплины: обеспечить общие и специальные знания о планировании и разработке игровых сценариев визуальных новелл с учетом их специфики и с их последующим критическим анализом.
Является логическим продолжением дисциплины «Цифровая культура» с углублением в игростроение. 
В результате освоения дисциплины студент:
получит знания современного состояние и тенденции развития информационных технологий в игростроение;
научится разбираться в теоретических основах информационных технологии управления;
сформирует у себя понимание принципов построения современных информационных систем и игр;
научится применять аппаратно-техническое и программное обеспечение глобальных компьютерных сетей при разработке игр;
разовьет способность использовать современные методы и проектирования и обучения;
разовьет способность анализировать состояние систем и процессов при сопоставлении с передовой практикой;
научится оперировать информацией о ключевых вопросах и технологиях для четкого и убедительного публичного изложения;
разовьет способность находить организационно-управленческие решения, оценивать результаты и последствия принятого управленческого решения и готовность нести за них ответственность с позиций социальной значимости принимаемых решений;
обучится навыку  использования основных теорий мотивации, лидерства и власти для решения стратегических и оперативных управленческих задач, а также для организации групповой работы на основе знания процессов групповой динамики и принципов формирования команды, умений проводить аудит человеческих ресурсов и осуществлять диагностику организационной культуры;
разовьет способность использовать современные методы управления проектом, направленные на своевременное получение качественных результатов, определение рисков, эффективное управление ресурсами, готовностью к его реализации с использованием современных инновационных технологий;
разовьет способность эффективно участвовать в групповой работе на основе знания процессов групповой;
научится оценивать соотношение планируемого результата и затрачиваемых ресурсов;
получит опыт разработки и реализации проектов в области игростроения.",Попов Антон Николаевич,IT
Разработка игр / Game Development,https://www.utmn.ru/obrazovanie/iot/electives/1099137/,"Цель дисциплины состоит в том, чтобы дать общие и специальные знания о планировании и создании игровых сценариев и игрового пространства, выработать методические и практические навыки в создании игровых проектов как последовательности логически взаимосвязанных этапов, обладающих определенными игровыми циклами и механиками.
Дисциплина обеспечивает общие и специальные знания о создании игрового пространства, его планировании и разработке современных игровых сценариев с последующей практической реализацией игровых проектов.
Является логическим продолжением дисциплины «Цифровая культура» с углублением в игростроение.
В результате освоения дисциплины студент:
получит знания современного состояние и тенденции развития информационных технологий в игростроение;
научится разбираться в теоретических основах информационных технологии управления;
сформирует у себя понимание принципов построения современных информационных систем и игр;
научится применять аппаратно-техническое и программное обеспечение глобальных компьютерных сетей при разработке игр;
разовьет способность использовать современные методы и проектирования и обучения;
разовьет способность анализировать состояние систем и процессов при сопоставлении с передовой практикой;
научится оперировать информацией о ключевых вопросах и технологиях для четкого и убедительного публичного изложения;
разовьет способность находить организационно-управленческие решения, оценивать результаты и последствия принятого управленческого решения и готовность нести за них ответственность с позиций социальной значимости принимаемых решений;
обучится навыку  использования основных теорий мотивации, лидерства и власти для решения стратегических и оперативных управленческих задач, а также для организации групповой работы на основе знания процессов групповой динамики и принципов формирования команды, умений проводить аудит человеческих ресурсов и осуществлять диагностику организационной культуры;
разовьет способность использовать современные методы управления проектом, направленные на своевременное получение качественных результатов, определение рисков, эффективное управление ресурсами, готовностью к его реализации с использованием современных инновационных технологий;
разовьет способность эффективно участвовать в групповой работе на основе знания процессов групповой;
научится оценивать соотношение планируемого результата и затрачиваемых ресурсов;
получит опыт разработки и реализации проектов в области игростроения.",Попов Антон Николаевич,IT
Разработка игр жанра Quest,https://www.utmn.ru/obrazovanie/iot/electives/1099143/,"Дисциплина обеспечивает общие и специальные знания о планировании и разработке игровых сценариев игры в жанре quest с учетом их специфики и с их последующим критическим анализом.

Является логическим продолжением дисциплины «Цифровая культура» с углублением в игростроение. 
В результате освоения дисциплины студент:
обладает званиями современного состояние и тенденции развития информационных технологий в игростроении;
разбирается в теоретических основах информационных технологии управления;
понимает принципы построения современных информационных систем и игр;
умеет применять аппаратно-техническое и программное обеспечение глобальных компьютерных сетей при разработке игр;
способностью использовать современные методы и проектирования и обучения ;
способностью организовывать сотрудничество , поддерживать активность и инициативность, самостоятельность обучающихся, развивать их творческие способности;
оперирование информацией о ключевых вопросах и технологиях для четкого и убедительного публичного изложения;
способностью находить организационно-управленческие решения, оценивать результаты и последствия принятого управленческого решения и готовность нести за них ответственность с позиций социальной значимости принимаемых решений;
владением навыками использования основных теорий мотивации, лидерства и власти для решения стратегических и оперативных управленческих задач, а также для организации групповой работы на основе знания процессов групповой динамики и принципов формирования команды, умений проводить аудит человеческих ресурсов и осуществлять диагностику организационной культуры;
способностью использовать современные методы управления проектом, направленные на своевременное получение качественных результатов, определение рисков, эффективное управление ресурсами, готовностью к его реализации с использованием современных инновационных технологий;
способностью эффективно участвовать в групповой работе на основе знания процессов групповой;
умением оценивать соотношение планируемого результата и затрачиваемых ресурсов;
способностью участвовать в разработке и реализации проектов в области игростроения.",Попов Антон Николаевич,IT
Разработка интерфейсов web-приложений,https://www.utmn.ru/obrazovanie/iot/electives/1109877/,"Курс позволит почувствовать себя в роли frontend-разработчика и понять, хотите ли Вы развиваться в этом направлении. Вы освоите верстку с применением HTML5 и CSS3, научитесь управлять цветом и шрифтами, размещать блоки на странице. В ходе практической разработки освоите адаптивную верстку сайтов, принципы кроссбраузерности и валидности при разработке интерфейсов веб-ресурса, сделаете проекты эстетичнее при помощи анимации и переходов.
Программа предназначена для новичков, не знакомых с версткой, а также для начинающих, кто:
- знаком с основами HTML и CSS и хочет расширить свои знания для верстки страниц;
- начал осваивать HTML и CSS, но хочет систематизировать знания и получить экспертную обратную связь;
- веб дизайнеров, который хотели бы сами воплощать свои макеты в жизнь.",Барская Галина Борисовна,
Разработка чат-ботов,https://www.utmn.ru/obrazovanie/iot/electives/1113504/,"Курс ""Разработка чат-ботов"" направлен на знакомство студентов с особенностями создания чат-ботов без написания программного кода (зеро-код) и при помощи языка программирования Python.

Задачи изучения дисциплины:
- Знакомство с видами и функционалом современных чат-ботов.
- Навыки написания сценария для диалоговой системы.
- Запуск и поддержка чат-бота.
- Навыки разработки чат-ботов на языке программирования Python.
- Размещение чат-бота на сервере.
После прохождения курса ""Разработка чат-ботов"" студенты будут знать фундаментальные понятия и теоретические основы разработки чат-ботов, смогут самостоятельно создавать сценарий для чат-бота, разрабатывать боты-анкеты, тесты и квесты. Студенты также получат навыки программирования на языке Python с последующим запуском чат-ботов в социальных сетях.","Попов Антон Николаевич, Михалькова Елена Владимировна, Башмакова Анастасия Юрьевна","IT, Коммуникативные практики"
Раннее обучение иностранному языку,https://www.utmn.ru/obrazovanie/iot/electives/1098316/,"В программу электива входит сравнительный анализ методик преподавания на раннем этапе таких иностранных языков, как английский, немецкий, французский и испанский. Неотъемлемой составляющей данного курса является изучение основных методов раннего обучения. Отдельно рассматриваются формы организации урока, существенно отличающиеся от форм на среднем и старшем этапах.
Результатом прохождения курса станет сформированный ""профессиональный портфель"" начинающего учителя, который включает приёмы, методы и технологии в процессе проектирования профессионального пространства педагога.","Кантышева Надежда Геннадьевна, Рахматуллина Альфия Наримановна",Иностранный язык
Расходометрия в нефтегазовой промышленности,https://www.utmn.ru/obrazovanie/iot/electives/1099703/,"Ознакомление с теорией измерения расхода жидких и газообразных сред, проектированием и конструкцией узлов и элементов расходомеров; получение практических навыков использования расходомеров и физико­математических преобразованиях выходных сигналов в наглядные данные; освоение метрологического сопровождения измерений включая оценку расчетов погрешностей и методов поверки средств измерений.
В результате освоения дисциплины обучающийся будет: Знать: – физические принципы и процессы в расходомерах различных типов; – конструктивные особенности расходомеров различных типов; – методы диагностики и эксплуатации расходомеров; – состояние и перспективы развития расходометрии нефти и газа в России. Уметь: – проектировать, разрабатывать и применять расходомеры различных типов; – обоснованно подбирать тип расходомера, исходя из условий эксплуатации и особенностей исследуемой среды; – проводить физико-математическую обработку и преобразование данных измерений; – применять нормативно-техническую документацию в практической деятельности.","Бессараб Алексей Николаевич, Никулин Сергей Геннадьевич",Инженерное дело
Ресурсы благополучия личности,https://www.utmn.ru/obrazovanie/iot/electives/1114279/,"В ходе реализации электива участники исследуют актуальное состояние своего субъективного и психологического благополучия и его компонентов; вместе мы выявим основные механизмы ощущения и переживания счастья и благополучия личности, актуализируем умения и навыки по развитию ресурсов благополучия личности.

Что будет на элективе:
- активные и интерактивные методы обучения; тренинговый формат работы; - исследование и поиск своих ресурсов благополучия; рефлексия;
- анализ конкретных практических ситуаций;
- обязательная обратная связь от коллег и преподавателей каждому участнику;
- доброжелательная позитивная атмосфера на занятии.

Основные направления курса:
- Благополучие и счастье.
- Структура благополучия.
- Самопринятие как отказ от вражды с собой.
- Психическое и физическое здоровье как составляющие благополучия личности.
- Качество жизни.
- Позитивные отношения.
- Автономия как умение владеть собой и принимать ответственность за свои действия.
- Уверенность в себе.
- Самоуправление: личностный рост и целеполагание, управление временем.
- Мои ресурсы благополучия.
Благополучие - это субъективная категория, и у каждого человека свое индивидуальное понимание счастливой и благополучной жизни. Вместе мы найдем ответы на вопросы: ""Что делает меня счастливым?"", ""Что мне необходимо, чтобы быть и чувствовать себя благополучным?"" На элективе студенты исследуют свои ресурсы, степень их значимости; будут понимать, какие свои имеющиеся ресурсы можно использовать для мобилизации/активизации или подержания оптимального уровня благополучия; научатся регулировать свое состояние благополучия. Результатом освоения курса станет индивидуальный проект ""Формула моего благополучия"" или ""Маршрут к благополучию"".","Брук Жанна Юрьевна, Кухтерина Галина Владимировна","Soft skills, Психология, Коммуникативные практики"
Речевой имидж,https://www.utmn.ru/obrazovanie/iot/electives/1120481/,"Курс даст возможность студенту получить новые знания в области речевой имиджелогии и развить навыки создания речевого имиджа и корректирования личностного речевого образа.

В рамках курса используются актуальные технологии создания речевого имиджа, базирующиеся на знаниях культуры речи, правилах речевого поведения, жанровом репертуаре, индивидуальной картине мира языковой личности.
Студент овладеет навыком создания связанного текста различных стилей; навыком публичной презентации текста. Повысит уровень устной и письменной речи.",Басова Лариса Валерьевна,Коммуникативные практики
Речевой этикет,https://www.utmn.ru/obrazovanie/iot/electives/1098104/,"Электив направлен на повышение культуры профессионального и бытового общения и умение ориентироваться в любой социокультурной среде. Включает в себя теоретическую и практическую части из области этикета.
Цель курса: помочь студентам легко ориентироваться в любой социокультурной среде, повысить коммуникативную эффективность за счет знания разговорных и поведенческих норм, легко взаимодействовать с людьми на любом уровне: от бытового до протокольного , воспитать личностные качества (умение решать конфликты, вести переговоры, выстраивать связи, в том числе и межкультурные и т.п.)
Задачи:
-  ознакомление с культурными нормами поведения и общения;
- изучение истории и традиций порядка поведения в межкультурном пространстве
- создание речевого имиджа;
- выработка способности к самонаблюдению и самоанализу в речетворческой деятельности;
- совершенствование коммуникативных навыков.",Куприянова Ася Ильинична,Soft skills
Рискология,https://www.utmn.ru/obrazovanie/iot/electives/1099565/,"Рискологический аспект человеческой деятельности Критерии классификации рисков Особенность рискологии в России Кризисология и рискология Эволюция кризисов в процессе человеческой деятельности Жизнь в условиях риска Методы прогнозирования рисков Методы управления рисками Практическое применение методов анализа рисков Технологии управления рисками в различных системах Практические примеры социальных рисков Экономические риски Инновационное предпринимательство и риски
Обучающиеся будут: Знать основные сведения о функционировании систем, работающих в условиях рисков; принципы и методы оценки рисков; основы системного анализа рисков различной этимологии; особенности применения методов прогнозирования цепей и сети рисков. Уметь проводить расчетно-аналитическую работу по оценке факторов риска; классифицировать риски по различным критериям; осуществлять сопоставление рискообразующих факторов; проводить исследования на основе применения методов прогнозирования рисков.",Гамукин Валерий Владимирович,"Педагогика, Социология, Психология, IT, Экономика, Бизнес, Химия, Журналистика, Менеджмент, Физика"
Рок-культура как рефлексия пограничных состояний культуры,https://www.utmn.ru/obrazovanie/iot/electives/1099770/,"Курс систематизирует знания о рок-культуре, формируя целостное представление о ней, прослеживает логику и динамику её развития в исторической перспективе, а также дает ей оценку, как явлению в целом, так и в контексте мировой культуры, какое место в ней занимает рок-культура, каковы ее функции и какую роль она играет в жизни общества, в жизни отдельного человека, а также какова ее общекультурная значимость. Нужно выделить то, что данный курс демонстрирует междисциплинарный интегративный подход к изучению рок-культуры, рассматривая ее с различных позиций: как культуру и исторический феномен, как философию и мировоззрение, как арт-пространство и медиа-искусство, как особый способ коммуникации и т.д., а также раскрывает различные категории рок-культуры, в том числе с точки зрения эстетической антропологии.
В результате прохождения курса студент научится: – определять и сопоставлять направления рока в соответствующем историческом контексте, что дает возможность формирование и развитие понятий о художественно-исторической эпохе, его культурном срезе, понимание его важнейших закономерностей – анализировать произведения рок-культуры, оценивать художественную, философскую, культурологическую, эстетическую др. значимость. – анализировать и раскрыть сущности рока на основе теоретического обобщения трансформационных процессов рок-культуры, с учетом исторического опыта и сложившейся практики – выявлять специфические условия, повлиявших на процессы становления и развития рок-культуры, а также динамики изменения развития рок-культуры и ее мультиинтегративного характера – использовать и применять приобретенные знания и умения для расширения кругозора, осознанного формирования культуры личности и дальнейшего саморазвития.",Доронин Владимир Викторович,"Литература, Антропология, Журналистика, Искусство, Медиа, Науки о жизни, Философия"
Российские исторические практики в сфере правосудия,https://www.utmn.ru/obrazovanie/iot/electives/1098974/,"Курс «Российские исторические практики в сфере правосудия» призван осветить историю судебной власти, тем самым ответить на ряд важнейших для прошлого и настоящего вопросов. Суд является сферой урегулирования отношений между государством и обществом, а уровень его развития вместе со степенью развития правосознания населения тех или иных стран и регионов способен многосторонне маркировать территории, формируя в этом смысле их определенный бренд. Современные представления о правовом государстве и гражданском обществе в России складываются под давлением исторических практик судоустройства и судопроизводства, что делает курс важным для изучения дисциплины.

Цель курса состоит в многостороннем изучении истории отечественных судебно-правовых институтов и правосознания в России X–ХХ столетиях. 

Курс рассчитан на один семестр и предполагает оценку знаний студентов по шкале в 100 баллов.
Овладение базовыми знаниями об эволюции правосудия на разных этапах дореволюционной истории и судебной политике государства; усвоение места и роли судебной организации в государственной системе и общественно-политической жизни страны, их влияния на правовые представления россиян. ",Крестьянников Евгений Адольфович,История
Русская неклассическая лирика,https://www.utmn.ru/obrazovanie/iot/electives/1099687/,"В названии курса представлен методологический вектор изучения русской лирики в масштабе парадигматической художественной системы, охватывающей творчество поэтов, условно говоря, от Вл. Соловьева до В. Полозковой. На занятиях студенты формируют системные знания о таких направлениях и стилевых течениях в поэзии XX-XXI вв., как символизм, акмеизм, футуризм, соцреализм, метареализм, концептуализм, постконцептуализм, неомодернизм и др. В проблемно-тематическом плане изучение поэтического творчества неклассических авторов строится вокруг следующих «узловых пунктов»: Метафизика Всеединства – Метасюжет возвращения – Жизнетворческая миссия авангарда – Мифопоэтические стратегии художественного творчества – Феномен сна в русской поэзии – Метафизика инобытия – «Зеркало» А. Тарковского как видеопоэтический текст – Книга стихов как художественное целое и др. Кроме того, в рамках элективного курса уделяется внимание непосредственно поэтической практике, когда студенты пробуют свои силы в сочинении стихов, работая индивидуально или в группах.
После освоения курса студенты будут Знать: основные закономерности развития неклассической лирики, особенности художественного мышления поэтов, ключевые стихотворные тексты и научную литературу, направленную на их изучение. Уметь: применять на практике такие базовые навыки критического и креативного мышления, как сбор, анализ и оценка различных фактов культуры, сотворческое их освоение путем включения в ценностное пространство личностного опыта. Владеть: необходимым понятийно-категориальным аппаратом современного гуманитарного научного знания, с помощью которого возможно системное описание процессов в неклассической русской лирике; методами исследования поэтической системы любой сложности в границах обозначенного периода; навыками аргументированного устного и письменного выражения собственной точки зрения на поставленные проблемы в учебной дискуссии.",Чижов Николай Сергеевич,"Литература, Искусство"
Русская разговорная речь,https://www.utmn.ru/obrazovanie/iot/electives/1099753/,"Основные темы курса: – Условия функционирования разговорной речи, роль внеязыковых факторов. Жест в разговорной речи. Соотношение вербального текста и жеста в разговорной речи. – Фонетическая игра в живой разговорной речи. Фоника современных рекламных слоганов. – Основные процедуры анализа и правки коммуникативного отрезка (интерпретация коммуникативных неудач, установление их причин и поиск способов исправления ситуации). – СМС-коммуникация как форма письменной русской разговорной речи. – Чат как ""разговорная"" письменная форма коммуникации в интернет-пространстве. Лексика чатов. – Морфология и синтаксис языка Интернет. – Создание текста, его редактирование и продвижение в коммуникативной среде сети Интернет; – Отражение разговорной речи в художественной литературе: традиции и новаторство.
После прохождения курса студент будет: – Знать современные виды речевой деятельности; знать приемы языкового манипулирования; признаки информативной и коммуникативной среды Интернет; специфику языка Рунета; иметь представление о месте экспрессии и языковой игры в языке чатов и в устной коммуникации. – Уметь различать книжную и разговорную речь, видеть их особенности; расширять круг языковых средств и принципов их стилевого употребления (например, уместно использовать устной речи и интернет-коммуникации разговорную и просторечную лексику, молодежный и компьютерный жаргон, английские вкрапления и прочее); систематизировать языковые средства сообразно типу речевой деятельности; составлять и редактировать тексты устно-речевого дискурса. – Владеть принципами организации вербального взаимодействия; навыками структурирования речемыслительной деятельности и использования типологии языковых ситуаций; основными приемами составления текстов разных жанров компьютерно опосредованной коммуникации; формулами речевого этикета интернет-коммуникации и устно-речевого дискурса.",Багирова Елена Петровна,"Коммуникативные практики, Русский язык"
Русский литературный андеграунд,https://www.utmn.ru/obrazovanie/iot/electives/1099667/,"В курсе изучаются художественные произведения андеграунда первой и второй половины XX века, включая широко известные тексты, а также мало распространенные произведения. Студенты буду работать с произведениями А.А. Ахматовой, М.А. Булгакова, В.В. Ерофеева, А.Н. Башлачева и др. Кроме того, курс освещает связи литературы и других видов и форм искусства: акционизм, концептуализм, рок-музыка и т.д.
В результате изучения курса студент будет способен осуществлять на базовом уровне сбор и анализ языковых и литературных фактов, филологический анализ и интерпретацию текста.",Черкасова Екатерина Анатольевна,"Литература, Искусство"
